,th0,th1,th2,th3,thp0,thp1,thp2,thp3,ng0,ng1,ng2,ng3,acceptProb,loglikelihood,acceptflag
685,0.280842513558,0.859151581138,0.268192497374,1.90493066766,0.280842513558,0.859151581138,0.268192497374,1.90493066766,0.0,0.0,0.0,0.0,1.77302293289,-427.740037118,1.0
686,0.280842513558,0.859151581138,0.268192497374,1.90493066766,0.660117522919,0.889260611999,0.358736391893,1.8557915272,0.0,0.0,0.0,0.0,0.100058184093,-427.740037118,0.0
687,0.280842513558,0.859151581138,0.268192497374,1.90493066766,0.243115892761,0.770688808646,0.455935815464,1.87350954038,0.0,0.0,0.0,0.0,0.0348530435665,-427.740037118,0.0
688,0.180386448805,0.925358522303,0.245113266977,1.82927286569,0.180386448805,0.925358522303,0.245113266977,1.82927286569,0.0,0.0,0.0,0.0,7.45271819306,-427.780036009,1.0
689,0.180386448805,0.925358522303,0.245113266977,1.82927286569,0.132965615141,0.880301000996,0.221453576761,1.97503061016,0.0,0.0,0.0,0.0,0.000215262869305,-427.780036009,0.0
690,0.180386448805,0.925358522303,0.245113266977,1.82927286569,-0.0948442561787,1.00101575233,0.279599138578,1.70579812691,0.0,0.0,0.0,0.0,0.0,-427.780036009,0.0
691,0.180386448805,0.925358522303,0.245113266977,1.82927286569,0.333098847938,0.992585215188,0.365826810291,1.92376784141,0.0,0.0,0.0,0.0,8.11143860509e-05,-427.780036009,0.0
692,0.180386448805,0.925358522303,0.245113266977,1.82927286569,0.082435479253,0.875635912049,0.0911171851568,1.84248431239,0.0,0.0,0.0,0.0,2.45739672436e-09,-427.780036009,0.0
693,0.180386448805,0.925358522303,0.245113266977,1.82927286569,0.0290005587743,0.960969571338,0.260294548262,1.95108730426,0.0,0.0,0.0,0.0,0.209807925954,-427.780036009,0.0
694,0.180386448805,0.925358522303,0.245113266977,1.82927286569,0.160440889294,0.923118402703,0.187914943216,1.59794150942,0.0,0.0,0.0,0.0,0.086090067446,-427.780036009,0.0
695,0.180386448805,0.925358522303,0.245113266977,1.82927286569,0.257492398013,1.02762331781,0.36085366051,1.67347115313,0.0,0.0,0.0,0.0,0.0,-427.780036009,0.0
696,0.180386448805,0.925358522303,0.245113266977,1.82927286569,-0.0246761882196,0.960935170863,0.014190790006,1.82354587037,0.0,0.0,0.0,0.0,8.61664551126e-14,-427.780036009,0.0
